"chain","project","symbol","tvlUsd","apyBase","apyReward","apy","rewardTokens","pool","apyPct1D","apyPct7D","apyPct30D","stablecoin","ilRisk","exposure","predictions","poolMeta","mu","sigma","count","outlier","underlyingTokens","il7d","apyBase7d","apyMean30d","volumeUsd1d","volumeUsd7d","apyBaseInception"
"Aptos","meso-finance","WUSDC",10140,4.65707,,4.65707,,"b9edf186-663f-4a34-9c90-d24334a03ef5",0.0453,,-5.95191,true,"no","single","{""predictedClass"":""Stable/Up"",""predictedProbability"":64,""binnedConfidence"":2}",,10.34219,0.14765,180,false,,,,13.28596,,,
"Aptos","aries-markets","ZUSDT",527512,4.64088,,4.64088,,"29518f02-7ee0-4ec8-878c-2e4c175e65e3",0.00077,-0.04004,-1.7747,true,"no","single","{""predictedClass"":""Stable/Up"",""predictedProbability"":66,""binnedConfidence"":2}",,11.89943,0.23774,396,false,,,,5.91902,,,
"Aptos","meso-finance","ZUSDT",17255,4.31054,,4.31054,,"77301302-451a-4189-a137-ed0f66ec3cb2",,0.15395,-0.41842,true,"no","single","{""predictedClass"":""Stable/Up"",""predictedProbability"":62,""binnedConfidence"":2}",,8.75315,0.23935,181,false,,,,9.23084,,,
"Aptos","echelon-market","CAKE",11812,3.77142,0,3.77142,"[]","17cf71ce-5ce6-4f56-8208-b3231710ca37",3.72854,,,false,"no","single","{""predictedClass"":null,""predictedProbability"":null,""binnedConfidence"":null}",,1.8901,0.13544,2,false,"[""0x159df6b7689437016108a019fd5bef736bac692b6d4a1f10c941f6fbb9a74ca6::oft::CakeOFT""]",,,0.19824,,,
"Aptos","aries-markets","USDC",546392,3.71455,,3.71455,,"897011b3-338f-480a-95f7-7322ba0cc53a",0,-0.14887,-1.43247,true,"no","single","{""predictedClass"":""Stable/Up"",""predictedProbability"":71,""binnedConfidence"":2}",,7.67829,0.24394,396,false,,,,4.61086,,,
"Aptos","cellana-finance","USDT-APT",14362,0,3.69682,3.69682,"[""0x2ebb2ccac5e027a87fa0e2e5f656a3a4238d6a48d93ec9b610d570fc0aa0df12""]","97562da1-d214-4cd2-b71d-48cc0f17a776",1.05589,-8.97051,-35.35312,false,"yes","multi","{""predictedClass"":""Stable/Up"",""predictedProbability"":74,""binnedConfidence"":2}",,39.48229,0.80038,350,false,,,,21.96342,,,
"Aptos","echelon-market","APT",1813451,3.37734,0,3.37734,"[]","cf6fa110-1204-486e-9cfe-6e83bace42b0",-0.87987,,,false,"no","single","{""predictedClass"":null,""predictedProbability"":null,""binnedConfidence"":null}",,3.86884,0.03511,2,false,"[""0x1::aptos_coin::AptosCoin""]",,,4.19032,,,
"Aptos","cellana-finance","USDT-USDT",16127,0,3.19426,3.19426,"[""0x2ebb2ccac5e027a87fa0e2e5f656a3a4238d6a48d93ec9b610d570fc0aa0df12""]","139e2a00-c270-4354-85ea-ec3157c9c9b8",-0.12426,-3.95987,,true,"no","multi","{""predictedClass"":""Stable/Up"",""predictedProbability"":57.99999999999999,""binnedConfidence"":1}",,12.1459,0.26467,102,false,,,,9.4556,,,
"Aptos","meso-finance","ZUSDC",122662,3.17334,,3.17334,,"fda18879-dfe3-444c-a617-2c814831716f",-0.11545,0.49686,-9.82114,true,"no","single","{""predictedClass"":""Stable/Up"",""predictedProbability"":72,""binnedConfidence"":2}",,9.68963,0.19612,192,false,,,,7.95507,,,
"Aptos","cellana-finance","MGPT-APT",48453,0,3.10325,3.10325,"[""0x2ebb2ccac5e027a87fa0e2e5f656a3a4238d6a48d93ec9b610d570fc0aa0df12""]","47e3977d-ea5d-4647-8374-3d0994d813d2",-0.00592,0.67081,-1.09597,false,"yes","multi","{""predictedClass"":""Down"",""predictedProbability"":53,""binnedConfidence"":1}",,42.50198,1.62642,269,false,,,,2.9149,,,
